name,content,classification
Ub6c6a62a88b4f0c492510a0f0b426414,小哲推薦早餐,3
Ub6c6a62a88b4f0c492510a0f0b426414,你好,1
Ub6c6a62a88b4f0c492510a0f0b426414,小哲你好,1
Ub6c6a62a88b4f0c492510a0f0b426414,哈囉,1
Ub6c6a62a88b4f0c492510a0f0b426414,你好嗎,1
Ub6c6a62a88b4f0c492510a0f0b426414,ㄎㄎ,0
Ub6c6a62a88b4f0c492510a0f0b426414,我想吃早餐,3
Ub6c6a62a88b4f0c492510a0f0b426414,小哲我想吃早餐,3
U58e71a67c8005e8ff726c88eda7e6ee0,早餐吃什麼？,3
U58e71a67c8005e8ff726c88eda7e6ee0,小哲推薦早餐,3
U97310c4b1b3c2263e32f9316319c3538,小哲您睡了嗎？,1
U97310c4b1b3c2263e32f9316319c3538,小哲,1
U58e71a67c8005e8ff726c88eda7e6ee0,小哲推薦早餐,3
U58e71a67c8005e8ff726c88eda7e6ee0,小小哲,1
U58e71a67c8005e8ff726c88eda7e6ee0,小哲,1
U58e71a67c8005e8ff726c88eda7e6ee0,小哲推薦早餐,3
U97310c4b1b3c2263e32f9316319c3538,小哲您辛苦了,0
U97310c4b1b3c2263e32f9316319c3538,小哲推薦早餐,3
U97310c4b1b3c2263e32f9316319c3538,小哲推薦早餐,3
U97310c4b1b3c2263e32f9316319c3538,小哲,1
U97310c4b1b3c2263e32f9316319c3538,小哲推薦早餐,3
U97310c4b1b3c2263e32f9316319c3538,小哲推薦早餐,3
U97310c4b1b3c2263e32f9316319c3538,小哲,1
Ub6c6a62a88b4f0c492510a0f0b426414,你有聽到嗎,0
Ub6c6a62a88b4f0c492510a0f0b426414,小哲是誰,2
Ub6c6a62a88b4f0c492510a0f0b426414,台南有停電嗎,0
U58e71a67c8005e8ff726c88eda7e6ee0,沒有,0
U97310c4b1b3c2263e32f9316319c3538,有,0
Ub6c6a62a88b4f0c492510a0f0b426414,太可怕了,0
Ub6c6a62a88b4f0c492510a0f0b426414,這裡也一樣,0
U58e71a67c8005e8ff726c88eda7e6ee0,宇哲，你現在在宿舍嗎？,0
Ub6c6a62a88b4f0c492510a0f0b426414,出來了,0
U58e71a67c8005e8ff726c88eda7e6ee0,我們家沒停電,0
Ub6c6a62a88b4f0c492510a0f0b426414,Ok,0
U58e71a67c8005e8ff726c88eda7e6ee0,你們那裡全區都停電嗎？,0
U58e71a67c8005e8ff726c88eda7e6ee0,你現在到那去？,0
Ub6c6a62a88b4f0c492510a0f0b426414,中正活動中心,0
Ub6c6a62a88b4f0c492510a0f0b426414,還有點太陽能,0
Ub6c6a62a88b4f0c492510a0f0b426414,我有先買兩大罐礦泉水跟三碗泡麵了,0
U58e71a67c8005e8ff726c88eda7e6ee0,學校的活動中心嗎？,0
Ub6c6a62a88b4f0c492510a0f0b426414,對,0
Ub6c6a62a88b4f0c492510a0f0b426414,學校裡面還有電,0
Ub6c6a62a88b4f0c492510a0f0b426414,復電了,0
Ub6c6a62a88b4f0c492510a0f0b426414,又停電了==,0
Ub6c6a62a88b4f0c492510a0f0b426414,又復電了,0
U97310c4b1b3c2263e32f9316319c3538,好像說會停一個小時 再復電,0
Ub6c6a62a88b4f0c492510a0f0b426414,嗯嗯,0
U97310c4b1b3c2263e32f9316319c3538,不會停了，可以睡了,0
U97310c4b1b3c2263e32f9316319c3538,文真阿姨有興趣小哲，有空再幫她構思一下,0
Ub6c6a62a88b4f0c492510a0f0b426414,Ok,0
U97310c4b1b3c2263e32f9316319c3538,小哲推薦早餐,3
U97310c4b1b3c2263e32f9316319c3538,那我就是這個了,0
U97310c4b1b3c2263e32f9316319c3538,謝謝小哲,0
Ub6c6a62a88b4f0c492510a0f0b426414,小哲,1
U97310c4b1b3c2263e32f9316319c3538,小哲推薦早餐,3
Ub6c6a62a88b4f0c492510a0f0b426414,小哲,1
U58e71a67c8005e8ff726c88eda7e6ee0,宇哲，你畢畢證書拿到了嗎？,0
U58e71a67c8005e8ff726c88eda7e6ee0,畢業證書,0
Ub6c6a62a88b4f0c492510a0f0b426414,還沒 中山那邊成績還沒送,0
Ub6c6a62a88b4f0c492510a0f0b426414,應該要下禮拜,0
U58e71a67c8005e8ff726c88eda7e6ee0,這樣中正可以繳學費嗎？,0
Ub6c6a62a88b4f0c492510a0f0b426414,可以,0
U58e71a67c8005e8ff726c88eda7e6ee0,哦！,0
Ub6c6a62a88b4f0c492510a0f0b426414,我資料都先登錄了,0
U58e71a67c8005e8ff726c88eda7e6ee0,宇哲，下週四或週五，你是在學校嗎？,0
U58e71a67c8005e8ff726c88eda7e6ee0,我這兩天休假，想說找一天帶弟弟去嘉義找你。,0
Ub6c6a62a88b4f0c492510a0f0b426414,對喔,0
Ub6c6a62a88b4f0c492510a0f0b426414,在學校,0
U58e71a67c8005e8ff726c88eda7e6ee0,所以找你可隨時出來嗎？,0
U58e71a67c8005e8ff726c88eda7e6ee0,可參觀實驗室嗎？,0
Ub6c6a62a88b4f0c492510a0f0b426414,可以,0
U58e71a67c8005e8ff726c88eda7e6ee0,小哲建議早餐,3
U58e71a67c8005e8ff726c88eda7e6ee0,小哲推薦早餐,3
U58e71a67c8005e8ff726c88eda7e6ee0,小哲推薦早餐,3
U58e71a67c8005e8ff726c88eda7e6ee0,小哲,1
U4c1fc96aea016eaadc24cb794db15db8,小哲,1
U4c1fc96aea016eaadc24cb794db15db8,小哲，謝謝,0
U4c1fc96aea016eaadc24cb794db15db8,小哲，厚片吐司,3
U4c1fc96aea016eaadc24cb794db15db8,小哲，菜單,4
U4c1fc96aea016eaadc24cb794db15db8,厚片吐司奶油,0
U4c1fc96aea016eaadc24cb794db15db8,高宇晨，厚片吐司巧克力,0
U58e71a67c8005e8ff726c88eda7e6ee0,宇哲，我們晚上在教會上課到9:30,0
U58e71a67c8005e8ff726c88eda7e6ee0,你幾點回家,0
Ub6c6a62a88b4f0c492510a0f0b426414,應該快10點才到火車站,0
U58e71a67c8005e8ff726c88eda7e6ee0,到時連絡，可ㄧ起回家,0
Ub6c6a62a88b4f0c492510a0f0b426414,好,0
Ub6c6a62a88b4f0c492510a0f0b426414,我再一站就到台南囉,0
U58e71a67c8005e8ff726c88eda7e6ee0,我們課程結束了。,0
U58e71a67c8005e8ff726c88eda7e6ee0,請你走到教會哦！,0
Ub6c6a62a88b4f0c492510a0f0b426414,Ok,0
U97310c4b1b3c2263e32f9316319c3538,我到門口了,0
U97310c4b1b3c2263e32f9316319c3538,大門出去左轉第一個路口再右轉有間兩之家腳踏車店,0
U97310c4b1b3c2263e32f9316319c3538,https://www.ccu.edu.tw/bicycle.php,0
U58e71a67c8005e8ff726c88eda7e6ee0,早餐吃什麼？,3
U58e71a67c8005e8ff726c88eda7e6ee0,早餐： 翔：巧克力厚片 哲：燒肉三明治 爸：燒肉三明治,0
U58e71a67c8005e8ff726c88eda7e6ee0,翔：奶茶（冰箱）哲：紅茶（冰箱）,0
U58e71a67c8005e8ff726c88eda7e6ee0,宇哲，你到學校了嗎？,0
Ub6c6a62a88b4f0c492510a0f0b426414,到嘉義火車站了,0
Ub6c6a62a88b4f0c492510a0f0b426414,在吃飯,0
U58e71a67c8005e8ff726c88eda7e6ee0,宇哲：我今天問你學長關於腳踏車的事，他說學校開學後，會在網站公佈認領腳踏車資訊或mail通知（他不確定）讓同學自由登記認領，他說運氣好可領到好的腳踏車。你想看看若等不到開學就先買嘍！,0
Ub6c6a62a88b4f0c492510a0f0b426414,先買好了我是查到好像要等到11月才有二手車認領,0
U58e71a67c8005e8ff726c88eda7e6ee0,哇！這麼久！,0
U58e71a67c8005e8ff726c88eda7e6ee0,那就先買,0
U97310c4b1b3c2263e32f9316319c3538,好事多吹冷氣吃牛肉捲,0
U58e71a67c8005e8ff726c88eda7e6ee0,這麼享受,0
Ub6c6a62a88b4f0c492510a0f0b426414,中華對日本2局下半 1:1,0
U4c1fc96aea016eaadc24cb794db15db8,7局上半 韓國4:2中華,0
U58e71a67c8005e8ff726c88eda7e6ee0,宇哲，我們明早9點從家裡出發,0
Ub6c6a62a88b4f0c492510a0f0b426414,好,0
U58e71a67c8005e8ff726c88eda7e6ee0,宇哲，明天需要幫你載腳踏車嗎？,0
Ub6c6a62a88b4f0c492510a0f0b426414,需要,0
U58e71a67c8005e8ff726c88eda7e6ee0,好,0
U97310c4b1b3c2263e32f9316319c3538,宇哲，現在嘉義天氣有下雨嗎？,0
Ub6c6a62a88b4f0c492510a0f0b426414,目前沒有,0
Ub6c6a62a88b4f0c492510a0f0b426414,有很多的雲而已,0
Ub6c6a62a88b4f0c492510a0f0b426414,義昌車行,0
Ub6c6a62a88b4f0c492510a0f0b426414,嘉義縣民雄鄉民族路57號,0
U97310c4b1b3c2263e32f9316319c3538,蜘蛛人,0
